Path,Classification,Confidence,SecondaryFlags,BuiltBy,KeyEvidence,Dependencies,ProposedExtractionAction,Notes
src/custom_listview/clv_platform.h,GENERIC_REUSABLE,High,PUBLIC_API;COPY_CANDIDATE;RICHLISTVIEW_DEPENDENCY,all profiles; custom-control-demo,CLV_PLATFORM_AMIGA assert; included by control via clv_control_platform.h,none,DUPLICATE_SMALL_GENERIC_MODULE,Thin; control depends on it
src/custom_listview/clv_platform.c,GENERIC_REUSABLE,High,PRIVATE_INTERNAL;COPY_CANDIDATE;RICHLISTVIEW_DEPENDENCY,CLV_PLATFORM_OBJS all profiles+control,clv_platform_malloc/free/strdup,Amiga AllocMem,DUPLICATE_SMALL_GENERIC_MODULE,Only legacy .o linked into RichListview today
src/custom_listview/clv_platform_internal.h,GENERIC_REUSABLE,High,PRIVATE_INTERNAL;COPY_CANDIDATE;RICHLISTVIEW_DEPENDENCY,via clv_platform.o,declares allocation shim; included by control .c files,clv_platform.h,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_compiler.h,GENERIC_REUSABLE,High,PUBLIC_API;COPY_CANDIDATE,header-only,CLV_COMPILER_* detection,none,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_sdk_compat.h,GENERIC_REUSABLE,High,PUBLIC_API;COPY_CANDIDATE,header-only,NewList and SDK fallbacks,Amiga SDK,DUPLICATE_SMALL_GENERIC_MODULE,ASCII/list code needs it; control may not
src/custom_listview/clv_exec_list_compat.h,GENERIC_REUSABLE,High,PUBLIC_API;COPY_CANDIDATE,header-only,thin NewList wrapper,clv_sdk_compat.h,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_types.h,GENERIC_REUSABLE,Medium,PUBLIC_API;SPLIT_REQUIRED;COPY_CANDIDATE;RICHLISTVIEW_DEPENDENCY;MISLEADING_NAME,header; used by both arches,CLV_CellAlign; CLV_PixelColumn; CLV_LISTVIEW_SCROLLBAR_BORDER; comments cite lvdm_Bounds,clv_platform.h,SPLIT_FILE_BEFORE_OR_DURING_EXTRACTION,Medium: GadTools-oriented comments/constant shared into control; unclear if SCROLLBAR_BORDER belongs in Rich types
src/custom_listview/clv_config.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,profile clients via generated CLV_HAS_*,CLV_HAS_* defaults for v1 feature families,none,LEAVE_IN_LEGACY_REPOSITORY,RichListview needs its own feature macros
src/custom_listview/clv_log.h,GENERIC_REUSABLE,Medium,PRIVATE_INTERNAL;MISLEADING_NAME,header-only macros in legacy .c,clv_log_info/error no-op macros; name collides with control clv_log_*,none,REWRITE_FOR_RICHLISTVIEW,Medium: symbol-family clash with clv_control_log.h functions
src/custom_listview/clv_bench.c,GENERIC_REUSABLE,High,PRIVATE_INTERNAL;COPY_CANDIDATE;RICHLISTVIEW_DEPENDENCY,custom-control-demo-bench,timing harness used by control bench build,clv_bench_internal.h,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
src/custom_listview/clv_bench_internal.h,GENERIC_REUSABLE,High,PRIVATE_INTERNAL;COPY_CANDIDATE;RICHLISTVIEW_DEPENDENCY,control bench + backend include,bench macros; included by clv_control_internal.h and v36 backend,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
src/custom_listview/custom_listview.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,umbrella include,includes v1 public headers only,v1 public headers,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/PUBLIC_HEADERS.txt,BUILD_OR_TOOLING,High,LEAVE_BEHIND,header allowlist tooling,lists v1 public basenames including clv_cellctl.h,none,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_ascii.h,LEGACY_GADTOOLS,High,PUBLIC_API;SPLIT_REQUIRED;LEAVE_BEHIND,ascii-* and draw-* (columns bridge),ASCII format API + pixel-column bridge for drawn prepare; lvdm_Bounds comments,clv_types.h,LEAVE_IN_LEGACY_REPOSITORY,Bridge half is drawn-GadTools specific
src/custom_listview/clv_ascii_columns.c,LEGACY_GADTOOLS,High,SPLIT_REQUIRED;LEAVE_BEHIND,CLV_ASCII_COLUMNS_OBJS ascii+draw profiles,format_header/row + clv_ascii_columns_calc_pixel_columns,clv_log.h; path_core; types,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_ascii_internal.h,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,ascii_columns/prepare internals,content-viewport bridge internals,ascii,LEAVE_IN_LEGACY_REPOSITORY,
